KIC,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
9181877,0.3210098,0.0000002,54953.79392,0.016609,0.75,80.5581,7.8076,11.698,4599,FALSE
5983351,0.3211848,0.0000004,55001.95885,0.017628,0.74,75.8175,7.4063,17.834,-1,FALSE
9713664,0.321236,0.0000002,54964.67519,0.020448,0.89,78.9147,12.6935,14.803,5585,FALSE
7118656,0.3213551,0.0000002,54964.74785,0.019556,0.93,75.0526,11.7784,15.033,5271,FALSE
8330092,0.3217236,0.0000002,54964.94235,0.019562,0.8,79.6051,6.9371,13.484,6902,TRUE
2854432,0.3223256,0.0000002,54964.88033,0.019925,0.93,70.8313,9.8809,14.922,5103,FALSE
9991887,0.3223957,0.0000002,54964.74388,0.070706,0.88,76.2362,20.4345,15.216,5198,FALSE
6061139,0.3224413,0.0000002,54964.91338,0.017958,0.76,75.5503,7.9831,15.232,5063,FALSE
4474193,0.3225048,0.0000002,54964.73894,0.021368,0.89,73.0192,8.9174,15.297,5319,FALSE
5984000,0.3230583,0.0000002,54964.65313,0.019863,0.82,75.8702,7.3069,14.431,5414,FALSE
7627059,0.3236502,0.0000003,55002.00622,0.019275,0.81,77.3117,8.7727,14.874,5754,FALSE
7199183,0.324092,0.0000003,55002.03076,0.026478,0.97,74.9747,12.2636,15.772,5462,FALSE
5195137,0.324117,0.0000002,54964.55405,0.017518,0.92,73.6355,9.3564,14.027,5381,FALSE
7280704,0.3243504,0.0000002,54953.70694,0.017682,0.93,74.9802,12.3099,13.057,5869,FALSE
8956957,0.3243816,0.0000002,54964.74551,0.018852,0.97,77.8846,12.133,13.978,6307,FALSE
