,cpcb1_flag,tb_simonian_flag,binary_berger_flag,subgiant_berger_flag,koi_flag,norot_flag
2718155.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2718397.0,-999.0,-999.0,1.0,0.0,-999.0,
2718781.0,-999.0,-999.0,0.0,0.0,-999.0,
2718866.0,-999.0,-999.0,1.0,0.0,-999.0,
2718924.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2718935.0,-999.0,-999.0,0.0,0.0,-999.0,
2719353.0,-999.0,-999.0,1.0,0.0,-999.0,
2720230.0,-999.0,-999.0,0.0,0.0,-999.0,
2721129.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2721506.0,-999.0,-999.0,0.0,0.0,-999.0,
2721930.0,-999.0,-999.0,0.0,0.0,-999.0,
2722737.0,-999.0,-999.0,0.0,0.0,-999.0,
2831377.0,-999.0,-999.0,0.0,0.0,-999.0,
2831957.0,-999.0,-999.0,0.0,0.0,-999.0,
2831983.0,-999.0,-999.0,0.0,0.0,-999.0,
2832175.0,-999.0,-999.0,0.0,0.0,-999.0,
2832398.0,-999.0,-999.0,0.0,0.0,-999.0,
2832720.0,-999.0,-999.0,0.0,0.0,-999.0,
2832741.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2833945.0,-999.0,-999.0,0.0,0.0,-999.0,
2834075.0,-999.0,-999.0,0.0,0.0,-999.0,
2834564.0,-999.0,-999.0,0.0,0.0,-999.0,
2834612.0,-999.0,-999.0,0.0,0.0,-999.0,
2834637.0,-999.0,-999.0,0.0,0.0,-999.0,
2834754.0,-999.0,-999.0,0.0,0.0,-999.0,
2834778.0,-999.0,-999.0,0.0,0.0,-999.0,
2835051.0,-999.0,-999.0,0.0,0.0,-999.0,
2835254.0,-999.0,-999.0,0.0,0.0,-999.0,
2835274.0,-999.0,-999.0,0.0,0.0,-999.0,
2835393.0,-999.0,-999.0,0.0,0.0,-999.0,
2835787.0,-999.0,-999.0,0.0,0.0,-999.0,
2836098.0,-999.0,-999.0,0.0,0.0,-999.0,
2836367.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2837046.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2837126.0,-999.0,-999.0,0.0,0.0,-999.0,
2837405.0,-999.0,-999.0,0.0,0.0,-999.0,
2845525.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2845541.0,-999.0,-999.0,0.0,0.0,-999.0,
2845689.0,-999.0,-999.0,0.0,0.0,-999.0,
2846491.0,-999.0,-999.0,0.0,0.0,-999.0,
2846901.0,-999.0,-999.0,0.0,0.0,-999.0,
2847357.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2847416.0,-999.0,-999.0,0.0,0.0,-999.0,
2847757.0,-999.0,-999.0,0.0,0.0,-999.0,
2848655.0,-999.0,-999.0,0.0,0.0,-999.0,
2848999.0,-999.0,-999.0,1.0,0.0,-999.0,
2849559.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2849788.0,-999.0,-999.0,0.0,0.0,-999.0,
2849894.0,-999.0,-999.0,0.0,0.0,-999.0,
2850322.0,-999.0,-999.0,0.0,0.0,-999.0,
2850503.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2850788.0,-999.0,-999.0,-999.0,-999.0,-999.0,
2851128.0,-999.0,-999.0,0.0,0.0,-999.0,
2852669.0,-999.0,-999.0,0.0,0.0,-999.0,
2854411.0,-999.0,-999.0,0.0,0.0,-999.0,
2855022.0,-999.0,-999.0,0.0,0.0,-999.0,
2855572.0,-999.0,-999.0,0.0,0.0,-999.0,
2856902.0,-999.0,-999.0,0.0,1.0,-999.0,
2858597.0,-999.0,-999.0,0.0,0.0,-999.0,
2858741.0,-999.0,-999.0,0.0,0.0,-999.0,
2859016.0,-999.0,-999.0,0.0,0.0,-999.0,
2859019.0,-999.0,-999.0,0.0,0.0,-999.0,
2859045.0,-999.0,-999.0,0.0,0.0,-999.0,
2859114.0,-999.0,-999.0,0.0,0.0,-999.0,
2860135.0,-999.0,-999.0,0.0,0.0,-999.0,
2860547.0,-999.0,-999.0,0.0,0.0,-999.0,
